cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Smooth bromegrass,AUM,5.7,6.3,6.9,NA,NA,NA,403446,15514076
Soybeans,Bu,52,56,60,NA,NA,NA,403446,15514077
Oats,Bu,68,76.5,92,NA,NA,NA,403446,15514075
Corn,Bu,174,193.5,230,NA,NA,NA,403446,15514071
Corn silage,Tons,18,18,18,NA,NA,NA,403446,15514072
Bromegrass-alfalfa hay,Tons,3.6,4.2,4.8,NA,NA,NA,403446,15514070
Canarygrass hay,Tons,3,3,3,NA,NA,NA,403446,15514073
Alfalfa hay,Tons,4.4,4.4,4.4,NA,NA,NA,403446,15514068
Bromegrass-alfalfa,AUM,10.3,10.7,10.9,NA,NA,NA,403985,15518420
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,403985,15518423
Smooth bromegrass,AUM,6.3,6.4,6.5,NA,NA,NA,403985,15518425
Soybeans,Bu,52,62,62,NA,NA,NA,403985,15518426
Corn,Bu,215,215,215,NA,NA,NA,403985,15518422
Oats,Bu,86,92,93,NA,NA,NA,403985,15518424
Bromegrass-alfalfa hay,Tons,6.2,6.4,6.5,NA,NA,NA,403985,15518421
Bromegrass-alfalfa,AUM,10,10.3,10.3,NA,NA,NA,403987,15518427
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,403987,15518430
Smooth bromegrass,AUM,5.8,6,6.3,NA,NA,NA,403987,15518432
Soybeans,Bu,48,50,52,NA,NA,NA,403987,15518433
Corn,Bu,174,174,174,NA,NA,NA,403987,15518429
Oats,Bu,85,88.5,92,NA,NA,NA,403987,15518431
Bromegrass-alfalfa hay,Tons,6,6.1,6.2,NA,NA,NA,403987,15518428
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,404088,15518413
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,404088,15518416
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,404088,15518418
Soybeans,Bu,58,61,64,NA,NA,NA,404088,15518419
Corn,Bu,200,210,220,NA,NA,NA,404088,15518415
Oats,Bu,88,91,94,NA,NA,NA,404088,15518417
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,404088,15518414
Bromegrass-alfalfa,AUM,10.3,10.6,10.6,NA,NA,NA,404090,15518434
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,404090,15518437
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,404090,15518439
Soybeans,Bu,45,48.5,52,NA,NA,NA,404090,15518440
Corn,Bu,184,188,192,NA,NA,NA,404090,15518436
Oats,Bu,88,90.5,93,NA,NA,NA,404090,15518438
