aashtocl,rvindicator,chkey,chaashtokey
A-7,No ,65223750,106547397
A-6,Yes,65219308,106540277
A-7-6,Yes,65222774,106545601
A-6,No ,65222774,106545602
A-6,Yes,65219639,106540766
A-7,Yes,65219238,106540176
A-7-6,Yes,65222873,106545789
A-6,Yes,65221853,106544065
A-7,Yes,65219617,106540739
A-6,Yes,65219628,106540753
A-7,No ,65219543,106540635
A-7-6,Yes,65222874,106545790
A-6,No ,65221729,106543830
A-7-6,Yes,65221729,106543831
A-7-6,Yes,65222748,106545555
A-6,No ,65222748,106545556
A-7-6,Yes,65222800,106545655
A-6,No ,65222800,106545656
A-7,No ,65219355,106540338
A-6,No ,65219281,106540238
A-7,No ,65219281,106540239
A-6,No ,65222815,106545685
A-7,Yes,65222815,106545686
A-6,Yes,65221855,106544068
A-6,No ,65224969,106548839
A-7-6,Yes,65224969,106548840
A-7,No ,65219277,106540232
A-6,No ,65219521,106540596
A-7-6,Yes,65224166,106547902
A-6,Yes,65221866,106544088
A-7-6,No ,65221866,106544089
A-6,Yes,65219624,106540748
A-6,No ,65224145,106547865
A-7,Yes,65224145,106547866
A-6,Yes,65219499,106540561
A-4,No ,65219499,106540562
A-6,No ,65222826,106545708
A-7-6,Yes,65222826,106545709
A-6,Yes,65222884,106545803
A-7-6,No ,65222884,106545804
A-7,No ,65219418,106540436
A-6,Yes,65219418,106540437
A-7-5,Yes,65224104,106547797
A-7-6,No ,65224104,106547798
A-7-6,Yes,65224968,106548838
A-6,Yes,65219613,106540735
A-7-6,Yes,65224156,106547888
A-7,No ,65219303,106540270
A-6,No ,65219303,106540271
A-6,No ,65219236,106540173
A-6,No ,65219510,106540579
A-4,Yes,65219510,106540580
A-6,Yes,65219632,106540758
A-7-6,Yes,65222770,106545593
A-6,No ,65222770,106545594
A-7-6,Yes,65223746,106547391
A-6,No ,65221822,106544007
A-7-6,Yes,65221822,106544008
A-7-6,Yes,65222796,106545647
A-6,No ,65222796,106545648
A-6,No ,65219544,106540636
A-7,No ,65219544,106540637
A-6,Yes,65219359,106540343
A-7,No ,65219359,106540344
A-7,No ,65219278,106540233
A-6,No ,65219278,106540234
A-7-6,Yes,65224158,106547891
A-7-6,Yes,65224988,106548870
A-7,No ,65219591,106540703
A-6,No ,65219591,106540704
A-7-6,No ,65221823,106544009
A-6,Yes,65221823,106544010
A-7-6,Yes,65222881,106545800
A-6,Yes,65224136,106547851
A-7-6,No ,65224136,106547852
A-6,No ,65219518,106540591
A-6,No ,65224123,106547830
A-7,Yes,65224123,106547831
A-7,No ,65219513,106540584
A-4,Yes,65219507,106540574
A-6,No ,65219507,106540575
A-4,No ,65224147,106547869
A-6,Yes,65224147,106547870
A-7,No ,65224147,106547871
A-7,No ,65219414,106540431
A-4,Yes,65221727,106543828
A-7,Yes,65219587,106540698
A-7-6,Yes,65222822,106545699
A-6,No ,65222822,106545700
A-7-6,Yes,65224165,106547901
A-6,Yes,65219307,106540276
A-7-6,Yes,65222888,106545810
A-6,No ,65219517,106540589
A-7,No ,65219517,106540590
A-4,Yes,65221728,106543829
A-6,Yes,65219269,106540220
A-7,No ,65219269,106540221
A-7,No ,65224112,106547810
A-4,No ,65224112,106547811
A-6,Yes,65224112,106547812
A-6,Yes,65221854,106544066
A-7,No ,65221854,106544067
A-6,Yes,65219643,106540770
A-7,No ,65219643,106540771
A-7-6,No ,65222752,106545563
A-6,Yes,65222752,106545564
A-6,No ,65224134,106547847
A-7-6,Yes,65224134,106547848
A-6,Yes,65224125,106547834
A-6,Yes,65223753,106547401
A-7-6,No ,65223753,106547402
A-7,No ,65219539,106540628
A-8,No ,65219539,106540629
