soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,30,30,46,Moist,231262672,145289399
61,61,61,200,200,200,Moist,231262672,145289401
30,30,46,61,61,61,Wet,231262672,145289400
0,0,0,203,203,203,Moist,231251793,145273146
0,0,0,46,46,91,Moist,231266017,145295665
46,46,91,200,200,200,Wet,231266017,145295664
0,0,0,15,15,61,Moist,231266043,145295717
15,15,61,200,200,200,Wet,231266043,145295716
NA,0,NA,NA,203,NA,Moist,231251973,145273453
NA,0,NA,NA,46,NA,Moist,231253313,145275129
NA,76,NA,NA,203,NA,Moist,231253313,145275131
46,46,61,76,76,76,Wet,231253313,145275130
NA,0,NA,NA,203,NA,Moist,231259485,145283498
0,0,0,91,91,122,Moist,231268498,145299928
91,91,122,200,200,200,Wet,231268498,145299929
0,0,0,76,76,152,Moist,231262403,145288988
76,76,152,200,200,200,Wet,231262403,145288989
0,0,0,91,91,168,Moist,231262536,145289183
91,91,168,200,200,200,Wet,231262536,145289182
0,0,0,200,200,200,Moist,231259463,145283468
0,0,0,61,61,107,Moist,231266022,145295675
61,61,107,200,200,200,Wet,231266022,145295674
0,0,0,200,200,200,Moist,231262366,145288929
0,0,0,76,76,107,Moist,231268443,145299819
76,76,107,200,200,200,Wet,231268443,145299818
61,92,122,183,183,183,Wet,231252904,145274642
0,0,0,61,92,122,,231252904,145274641
0,0,0,0,15,30,,231251804,145273160
0,15,30,183,183,183,Wet,231251804,145273161
NA,0,NA,NA,46,NA,Moist,231252503,145274149
NA,76,NA,NA,203,NA,Moist,231252503,145274151
46,46,61,76,76,76,Wet,231252503,145274150
0,0,0,91,91,168,Moist,231262525,145289161
91,91,168,200,200,200,Wet,231262525,145289160
0,0,0,61,61,91,Moist,231268491,145299914
61,61,91,200,200,200,Wet,231268491,145299915
0,0,0,168,168,200,Moist,231265046,145293942
168,168,200,200,200,200,Wet,231265046,145293943
NA,0,NA,NA,46,NA,Moist,231253263,145275099
NA,76,NA,NA,203,NA,Moist,231253263,145275101
46,46,61,76,76,76,Wet,231253263,145275100
0,0,0,183,183,200,Moist,231262477,145289089
